Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,71.42,-86.02,90,bottom
C2,10u,C_0402_1005Metric,69.39,-75.11,180,bottom
C3,.1u,C_0402_1005Metric,71.95,-99.97,-90,bottom
C4,1u,C_0402_1005Metric,70.35,-86.91,90,bottom
C5,.1u,C_0402_1005Metric,68.95,-89.27,180,bottom
C6,.1u,C_0402_1005Metric,75.84,-84.63,90,bottom
C7,.1u,C_0402_1005Metric,79.23,-89.1,90,bottom
C8,.1u,C_0402_1005Metric,61.49,-92.54,180,bottom
C9,.1u,C_0402_1005Metric,88.33,-87,90,bottom
C10,.1u,C_0402_1005Metric,68.95,-88.19,180,bottom
C11,.1u,C_0402_1005Metric,82.07,-93.16,0,bottom
C12,.1u,C_0402_1005Metric,73.21,-99.97,-90,bottom
C13,.1u,C_0402_1005Metric,74.71,-84.31,90,bottom
C_LDO1,1u,C_0402_1005Metric,70.34,-69.93,180,bottom
C_LDO2,1u,C_0402_1005Metric,69.39,-76.19,180,bottom
D1,D_Small,D_SOD-123,48.23,-65.01,90,bottom
D2,D_Small,D_SOD-123,48.22,-84.02,90,bottom
D3,D_Small,D_SOD-123,48.23,-103.01,90,bottom
D4,D_Small,D_SOD-123,52.98,-122.02,90,bottom
D5,D_Small,D_SOD-123,67.22,-65.01,90,bottom
D6,D_Small,D_SOD-123,67.22,-84.01,90,bottom
D7,D_Small,D_SOD-123,67.22,-103.01,90,bottom
D8,D_Small,D_SOD-123,57,-122.03,90,bottom
D9,D_Small,D_SOD-123,86.22,-65.01,90,bottom
D10,D_Small,D_SOD-123,86.22,-84.01,90,bottom
D11,D_Small,D_SOD-123,86.22,-103,90,bottom
D12,D_Small,D_SOD-123,86.23,-122.01,90,bottom
D13,D_Small,D_SOD-123,105.22,-65.01,90,bottom
D14,D_Small,D_SOD-123,105.22,-84.01,90,bottom
D15,D_Small,D_SOD-123,105.22,-103.02,90,bottom
D16,D_Small,D_SOD-123,105.23,-122.01,90,bottom
D17,D_Small,D_SOD-123,124.23,-65.02,90,bottom
D18,D_Small,D_SOD-123,124.22,-84.01,90,bottom
D19,D_Small,D_SOD-123,124.22,-103.01,90,bottom
D20,D_Small,D_SOD-123,123.91,-123.64,90,bottom
D21,D_Small,D_SOD-123,143.22,-65.01,90,bottom
D22,D_Small,D_SOD-123,143.23,-84.01,90,bottom
D23,D_Small,D_SOD-123,143.23,-103.01,90,bottom
